team_name,condition,time,fitness
identical,diachronic,21,-16836.0
identical,diachronic,22,-15396.0
identical,diachronic,23,-15040.0
identical,diachronic,24,-15040.0
identical,diachronic,25,-14533.0
identical,diachronic,26,-13537.0
identical,diachronic,27,-13537.0
identical,diachronic,28,-12237.0
identical,diachronic,29,-12229.0
identical,diachronic,30,-11452.0
identical,diachronic,31,-11341.0
identical,diachronic,32,-11341.0
identical,diachronic,33,-10497.0
identical,diachronic,34,-10497.0
identical,diachronic,35,-10032.0
identical,diachronic,36,-9645.0
identical,diachronic,37,-8829.0
identical,diachronic,38,-8620.0
identical,diachronic,39,-8620.0
identical,diachronic,40,-8005.0
identical,diachronic,41,-8005.0
identical,diachronic,42,-8005.0
identical,diachronic,43,-8005.0
identical,diachronic,44,-8005.0
identical,diachronic,45,-8005.0
identical,diachronic,46,-7725.0
identical,diachronic,47,-7725.0
identical,diachronic,48,-7281.0
identical,diachronic,49,-7281.0
identical,diachronic,50,-6726.0
identical,diachronic,51,-6726.0
identical,diachronic,52,-6693.0
identical,diachronic,53,-6448.0
identical,diachronic,54,-6174.0
identical,diachronic,55,-6174.0
identical,diachronic,56,-6174.0
identical,diachronic,57,-5649.0
identical,diachronic,58,-5649.0
identical,diachronic,59,-5649.0
identical,diachronic,60,-5289.0
identical,diachronic,61,-5289.0
identical,diachronic,62,-4932.0
identical,diachronic,63,-4932.0
identical,diachronic,64,-4285.0
identical,diachronic,65,-4285.0
identical,diachronic,66,-4285.0
identical,diachronic,67,-4285.0
identical,diachronic,68,-4182.0
identical,diachronic,69,-4182.0
identical,diachronic,70,-4182.0
identical,diachronic,71,-4182.0
identical,diachronic,72,-4182.0
identical,diachronic,73,-4182.0
identical,diachronic,74,-4182.0
identical,diachronic,75,-4182.0
identical,diachronic,76,-4065.0
identical,diachronic,77,-4065.0
identical,diachronic,78,-4065.0
identical,diachronic,79,-3670.0
identical,diachronic,80,-2949.0
identical,diachronic,81,-2605.0
identical,diachronic,82,-2565.0
identical,diachronic,83,-2565.0
identical,diachronic,84,-2565.0
identical,diachronic,85,-2214.0
identical,diachronic,86,-2214.0
