team,landscape,strategy,labor_hours,starting_pos,seed,time,pos,fitness
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,79,"[-25, -43]",-2474
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,80,"[-30, -39]",-2421
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,81,"[-30, -39]",-2421
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,82,"[-30, -39]",-2421
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,83,"[-30, -39]",-2421
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,84,"[-27, -35]",-1954
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,85,"[-22, -34]",-1640
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,86,"[-21, -29]",-1282
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,87,"[-17, -29]",-1130
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,88,"[-17, -29]",-1130
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,89,"[-17, -29]",-1130
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,90,"[-14, -26]",-872
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,91,"[-14, -23]",-725
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,92,"[-14, -23]",-725
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,93,"[-15, -22]",-709
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,94,"[-13, -23]",-698
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,95,"[-13, -23]",-698
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,96,"[-11, -20]",-521
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,97,"[-7, -17]",-338
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,98,"[-3, -16]",-265
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,99,"[-7, -14]",-245
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,0,"[-100, -99]",-19801
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,1,"[-95, -101]",-19226
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,2,"[-97, -96]",-18625
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,3,"[-97, -93]",-18058
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,4,"[-97, -91]",-17690
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,5,"[-94, -88]",-16580
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,6,"[-94, -88]",-16580
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,7,"[-91, -83]",-15170
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,8,"[-91, -83]",-15170
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,9,"[-86, -85]",-14621
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,10,"[-83, -86]",-14285
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,11,"[-87, -81]",-14130
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,12,"[-87, -81]",-14130
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,13,"[-87, -81]",-14130
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,14,"[-90, -77]",-14029
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,15,"[-92, -72]",-13648
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,16,"[-90, -72]",-13284
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,17,"[-90, -72]",-13284
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,18,"[-85, -74]",-12701
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,19,"[-85, -74]",-12701
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,20,"[-85, -74]",-12701
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,21,"[-85, -74]",-12701
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,22,"[-86, -71]",-12437
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,23,"[-86, -71]",-12437
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,24,"[-86, -68]",-12020
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,25,"[-86, -68]",-12020
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,26,"[-88, -63]",-11713
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,27,"[-88, -63]",-11713
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,28,"[-88, -63]",-11713
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",1,29,"[-86, -58]",-10760
